Step,AgentID,State
0,"(12, 38)",-1
0,"(12, 39)",-1
0,"(12, 40)",-1
0,"(12, 41)",-1
0,"(12, 42)",-1
0,"(12, 44)",-1
0,"(12, 45)",-1
0,"(12, 47)",-1
0,"(12, 48)",-1
0,"(12, 49)",-1
0,"(12, 51)",-1
0,"(12, 52)",-1
0,"(12, 55)",-1
0,"(12, 56)",-1
0,"(12, 62)",-1
0,"(12, 63)",-1
0,"(12, 64)",-1
0,"(12, 66)",-1
0,"(12, 67)",-1
0,"(12, 72)",-1
0,"(12, 73)",-1
0,"(12, 74)",-1
0,"(12, 75)",-1
0,"(12, 76)",-1
0,"(12, 77)",-1
0,"(12, 78)",-1
0,"(12, 81)",-1
0,"(12, 82)",-1
0,"(12, 83)",-1
0,"(12, 84)",-1
0,"(12, 87)",-1
0,"(12, 88)",-1
0,"(12, 89)",-1
0,"(12, 90)",-1
0,"(12, 92)",-1
0,"(12, 94)",-1
0,"(12, 97)",-1
0,"(13, 2)",-1
0,"(13, 3)",-1
0,"(13, 5)",-1
0,"(13, 6)",-1
0,"(13, 7)",-1
0,"(13, 8)",-1
0,"(13, 9)",-1
0,"(13, 10)",-1
0,"(13, 11)",-1
0,"(13, 12)",-1
0,"(13, 15)",-1
0,"(13, 16)",-1
0,"(13, 17)",-1
0,"(13, 20)",-1
0,"(13, 21)",-1
0,"(13, 22)",-1
0,"(13, 23)",-1
0,"(13, 25)",-1
0,"(13, 27)",-1
0,"(13, 28)",-1
0,"(13, 30)",-1
0,"(13, 36)",-1
0,"(13, 37)",-1
0,"(13, 38)",-1
0,"(13, 41)",-1
0,"(13, 42)",-1
0,"(13, 43)",-1
0,"(13, 44)",-1
0,"(13, 45)",-1
0,"(13, 46)",-1
0,"(13, 47)",-1
0,"(13, 48)",-1
0,"(13, 49)",-1
0,"(13, 50)",-1
0,"(13, 52)",-1
0,"(13, 56)",-1
0,"(13, 57)",-1
0,"(13, 59)",-1
0,"(13, 60)",-1
0,"(13, 61)",-1
0,"(13, 62)",-1
0,"(13, 63)",-1
0,"(13, 65)",-1
0,"(13, 68)",-1
0,"(13, 70)",-1
0,"(13, 75)",-1
0,"(13, 76)",-1
0,"(13, 80)",-1
0,"(13, 81)",-1
0,"(13, 82)",-1
0,"(13, 84)",-1
0,"(13, 86)",-1
0,"(13, 87)",-1
0,"(13, 90)",-1
0,"(13, 91)",-1
0,"(13, 92)",-1
0,"(13, 93)",-1
0,"(13, 94)",-1
0,"(13, 95)",-1
0,"(13, 96)",-1
0,"(13, 99)",-1
0,"(14, 0)",-1
0,"(14, 1)",-1
0,"(14, 2)",-1
0,"(14, 3)",-1
0,"(14, 5)",-1
0,"(14, 6)",-1
0,"(14, 7)",-1
0,"(14, 8)",-1
0,"(14, 11)",-1
0,"(14, 14)",-1
0,"(14, 16)",-1
0,"(14, 17)",-1
0,"(14, 18)",-1
0,"(14, 19)",-1
0,"(14, 21)",-1
0,"(14, 22)",-1
0,"(14, 25)",-1
0,"(14, 26)",-1
0,"(14, 27)",-1
0,"(14, 29)",-1
0,"(14, 30)",-1
0,"(14, 32)",-1
0,"(14, 36)",-1
0,"(14, 37)",-1
0,"(14, 38)",-1
0,"(14, 39)",-1
0,"(14, 40)",-1
0,"(14, 41)",-1
0,"(14, 42)",-1
0,"(14, 43)",-1
0,"(14, 45)",-1
0,"(14, 46)",-1
0,"(14, 47)",-1
0,"(14, 48)",-1
0,"(14, 49)",-1
0,"(14, 50)",-1
0,"(14, 52)",-1
0,"(14, 55)",-1
0,"(14, 56)",-1
0,"(14, 59)",-1
0,"(14, 61)",-1
0,"(14, 62)",-1
0,"(14, 63)",-1
0,"(14, 65)",-1
0,"(14, 70)",-1
0,"(14, 72)",-1
0,"(14, 73)",-1
0,"(14, 74)",-1
0,"(14, 75)",-1
0,"(14, 77)",-1
0,"(14, 78)",-1
0,"(14, 79)",-1
0,"(14, 80)",-1
0,"(14, 82)",-1
0,"(14, 83)",-1
0,"(14, 84)",-1
0,"(14, 85)",-1
0,"(14, 87)",-1
0,"(14, 88)",-1
0,"(14, 90)",-1
0,"(14, 94)",-1
0,"(14, 95)",-1
0,"(14, 96)",-1
0,"(14, 97)",-1
0,"(14, 98)",-1
0,"(14, 99)",-1
0,"(15, 0)",-1
0,"(15, 2)",-1
0,"(15, 3)",-1
0,"(15, 4)",-1
0,"(15, 6)",-1
0,"(15, 7)",-1
0,"(15, 8)",-1
0,"(15, 9)",-1
0,"(15, 10)",-1
0,"(15, 11)",-1
0,"(15, 12)",-1
0,"(15, 15)",-1
0,"(15, 17)",-1
0,"(15, 20)",-1
0,"(15, 21)",-1
